"id","bathrooms","heating","macrozone","microzone","price_n","rooms_n","price_sqm","surface_room","geometry","time_to_nearest_metro_mins","time_to_nearest_tram_mins","min_time_to_uni_mins"
126917205,"1","Autonomo","Bande Nere, Inganni","Bande Nere",585,4,8.35714285714286,14,c(9.13388, 45.4628),3.85178972349815,19.2206794980747,79
126915829,"1","Autonomo","Corvetto, Rogoredo","Corvetto",525,3,10.2941176470588,13.6,c(9.21392, 45.4397),7.73205728128034,17.1292897577722,69.5
126916841,"3","Autonomo","Maggiolina, Istria","Maggiolina",580,5,38.6666666666667,15,c(9.19756, 45.4915),4.94163028067195,5.64162026842396,39.3
126917457,"2","Autonomo","San Siro, Trenno","Gallaratese",585,5,39,15,c(9.12613, 45.4859),6.35948280278061,16.976072687648,53.7
126917107,"2","Autonomo","San Siro, Trenno","Gallaratese",585,5,39,15,c(9.12613, 45.4859),6.35948280278061,16.976072687648,53.7
126915709,"1","Autonomo","Bande Nere, Inganni","Gambara",465,5,5.10989010989011,14.56,c(9.14358, 45.4633),2.88088567674738,9.92506092537499,75.8
126917197,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",515,4,6.95945945945946,14.8,c(9.13826, 45.4543),6.5769174803038,11.2023336859095,95
126916879,"1","Autonomo","Forlanini","Quartiere Forlanini",585,4,7.04819277108434,16.6,c(9.25051, 45.4585),13.7589876485617,8.89865575402758,51.8
126917607,"2","Autonomo","San Siro, Trenno","Gallaratese",585,5,39,15,c(9.12613, 45.4859),6.35948280278061,16.976072687648,53.7
126915705,"2","Autonomo","Porta Vittoria, Lodi","Lodi - Brenta",490,5,32.6666666666667,15,c(9.21768, 45.4435),1.62960211956068,12.2121463751196,63.2
126917431,"1","Autonomo","Bande Nere, Inganni","Lorenteggio",470,5,6.43835616438356,11.68,c(9.1396, 45.4526),3.64720129981479,7.85406220826184,94.6
126917275,"1","Autonomo","Uptown, Cascina Merlata, Viale Certosa","Musocco",580,4,7.07317073170732,16.4,c(9.12875, 45.5036),19.7729118117278,4.77782088681054,39.2
126916883,"2","Autonomo","Bande Nere, Inganni","Bande Nere",550,5,36.6666666666667,15,c(9.13529, 45.4609),1.79607526458299,20.1859915935936,81.2
126916837,"3","Autonomo","Maggiolina, Istria","Maggiolina",575,5,38.3333333333333,15,c(9.19756, 45.4915),4.94163028067195,5.64162026842396,39.3
