id,heating,macrozone,microzone,latitude,longitude,photo_count,price,sqm,n_rooms,n_bath,floor_num,has_elevator,feat_arredato,feat_balcone,feat_ascensore,feat_lavatrice,feat_aria_condizionata,feat_portineria,feat_terrazzo,feat_giardino,feat_lavastoviglie
127646904,Assente,Navigli,Bocconi,45.4497,9.18755,10,950,100,4,2,1,0,0,0,0,0,0,0,0,0,0
127384737,Autonomo,"Famagosta, Barona",Famagosta,45.4405,9.17508,8,860,67,3,1,1,0,0,0,0,0,0,0,1,0,0
127414749,Assente,"Porta Vittoria, Lodi",Martini - Insubria,45.453,9.21808,15,895,90,4,2,2,0,0,0,0,0,0,0,0,0,0
127414649,Assente,"San Siro, Trenno",QT8,45.4841,9.13773,24,855,150,5,4,1,0,0,0,0,0,0,0,0,0,0
127317523,Assente,"Porta Romana, Cadore, Montenero",Cadore,45.4593,9.21164,13,1100,120,5,3,1,0,0,0,0,0,0,0,0,0,0
127646748,Assente,"San Siro, Trenno",QT8,45.4841,9.13773,27,850,150,5,4,1,0,0,0,0,0,0,0,0,0,0
120952800,Assente,"Città Studi, Susa",Plebisciti - Susa,45.465,9.21896,48,850,675,6,4,3,0,0,0,0,0,1,0,0,0,0
120952788,Assente,"Napoli, Soderini",Tripoli - Soderini,45.4558,9.1513,26,850,675,6,4,2,0,0,0,0,0,1,0,0,0,0
126915577,Autonomo,"Solari, Washington",Washington,45.4611,9.15286,22,930,90,3,1,6,0,0,1,0,0,0,0,0,0,0
127513822,Autonomo,"Garibaldi, Moscova, Porta Nuova",Turati,45.4754,9.18877,22,975,131,5,1,2,0,0,0,0,0,0,0,0,0,0
127326159,Autonomo,"Udine, Lambrate",Ortica,45.4691,9.2482,7,890,15,6,4,1,0,0,0,0,0,0,0,0,0,0
127513868,Autonomo,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.4441,9.1836,7,980,180,6,3,2,0,0,0,0,0,0,0,0,0,0
127414713,Autonomo,"Udine, Lambrate",Ortica,45.4691,9.2482,7,920,15,6,4,1,0,0,0,0,0,0,0,0,0,0
127317613,Autonomo,"Genova, Ticinese",Corso Genova,45.4592,9.17079,7,975,230,6,2,1,0,0,0,0,0,0,0,0,0,0
127384703,Autonomo,"Porta Romana, Cadore, Montenero",Cadore,45.459,9.21334,7,915,104,5,2,1,1,0,0,0,0,0,0,0,0,0
127384275,Assente,"Solari, Washington",Vercelli - Wagner,45.4664,9.1645,9,1200,150,3,2,1,0,0,0,0,0,0,0,0,0,0
127513596,Assente,Navigli,Navigli - Darsena,45.4509,9.1775,15,900,85,3,1,2,0,0,0,0,0,0,0,0,0,0
127504574,Autonomo,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.4433,9.17651,7,905,127,5,1,1,1,0,0,0,0,0,0,0,0,0
127504588,Autonomo,"Genova, Ticinese",Corso Genova,45.4592,9.17079,7,1005,230,6,2,1,0,0,0,0,0,0,0,0,0,0
127274905,Autonomo,"Udine, Lambrate",Ortica,45.4691,9.2482,7,1010,15,6,4,1,0,0,0,0,0,0,0,0,0,0
127326399,Autonomo,"Città Studi, Susa",Città Studi,45.4796,9.22398,6,900,15,4,2,4,1,0,0,0,0,0,0,0,0,0
127602526,Autonomo,"Centrale, Repubblica",Morgagni,45.4734,9.21442,27,950,15,5,2,2,1,0,0,0,0,0,0,0,0,0
127602236,Assente,"Ripamonti, Vigentino",Vigentino - Fatima,45.4372,9.19396,13,850,97,4,1,1,0,0,0,0,0,0,0,0,0,0
127355927,Autonomo,"Famagosta, Barona",Famagosta,45.4399,9.17355,6,950,78,3,1,2,0,0,0,0,0,0,0,0,0,0
127514054,Autonomo,"Centrale, Repubblica",Morgagni,45.4734,9.21442,27,950,15,5,2,2,1,0,0,0,0,0,0,0,0,0
127513900,Autonomo,"Città Studi, Susa",Città Studi,45.4815,9.22527,26,880,15,5,2,1,0,0,0,0,0,0,0,0,0,0
127384751,Autonomo,"Porta Venezia, Indipendenza",Porta Venezia,45.4732,9.21385,6,845,15,5,2,3,1,0,0,0,0,0,0,0,0,0
127569996,Assente,"Ripamonti, Vigentino",Vigentino - Fatima,45.4372,9.19396,11,850,97,4,1,1,0,0,0,0,0,0,0,0,0,0
127136203,Centralizzato,"Famagosta, Barona",Tre Castelli - Faenza,45.4438,9.13906,5,950,20,1,1,3,0,0,1,1,1,0,0,0,0,1
126041975,Assente,"Città Studi, Susa",Città Studi,45.482,9.2202,10,850,18,1,1,NA,NA,1,0,0,0,0,0,0,0,0
127138783,Centralizzato,"Porta Romana, Cadore, Montenero",Porta Romana - Medaglie d'Oro,45.4509,9.1994,10,1055,15,1,1,NA,NA,1,0,0,0,0,0,0,0,0
126037989,Centralizzato,Centro,Carrobbio,45.4581,9.1847,10,990,18,1,1,NA,NA,1,0,0,0,1,0,0,0,0
126038069,Centralizzato,"Napoli, Soderini",Piazza Napoli,45.4522,9.1541,10,890,15,1,1,NA,NA,1,0,0,0,1,0,0,0,0
