id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
127598696,"Stanza singola via Pomezia 10B, Milano", € 565.00 ,€ 565/mese,4,1,90 m²,1°,Assente,"ripostiglio, balcone, cucina, lavatrice, lavastoviglie, microonde, portineria, bagno in comune, aria condizionata, armadi",Via Pomezia,"Pasteur, Rovereto",Pasteur,45.4897,9.2161,Geom. Matteo Valli - Agente Immobiliare,02 5964 9425,25,https://www.immobiliare.it/annunci/127598696/,
125195953,"Stanza singola via Carlo Marochetti 21, Milano", € 400.00 ,€ 400/mese,4,1,96 m²,8°,Assente,"ripostiglio, balcone, cucina, lavatrice, portineria, bagno in comune, aria condizionata, armadi",Via Carlo Marochetti,"Corvetto, Rogoredo",Corvetto,45.4386,9.2274,Capitani Immobiliare Srl,02 8973 7724,21,https://www.immobiliare.it/annunci/125195953/,
121485442,"Stanza doppia via Palmanova 91, Milano", € 500.00 ,€ 500/mese,2,1,70 m²,6°,Assente,"ripostiglio, balcone, cucina, connessione ad internet, lavatrice, lavastoviglie, microonde, portineria, bagno in comune, parquet, aria condizionata, armadi",Via Palmanova,"Cimiano, Crescenzago, Adriano",Cimiano,45.5004,9.2411,Le case di Patty,02 8974 3286,19,https://www.immobiliare.it/annunci/121485442/,
120199818,"Stanza singola via Ambrogio Binda 3, Milano", € 550.00 ,€ 550/mese,3,1,52 m²,Seminterrato,Assente,"cucina, lavatrice, lavastoviglie, portineria, bagno privato, bagno in comune, attacco telefonico, tv, aria condizionata, ingresso privato, armadi",Via Ambrogio Binda,"Famagosta, Barona",Barona,45.444,9.1552,La Casa Agency - Milano Bicocca - Cimicom S.P.A.,02 3540 7022,15,https://www.immobiliare.it/annunci/120199818/,
127423629,"Stanza singola via Carlo Marx 8, Milano", € 450.00 ,€ 450/mese,4,2,16 m²,6°,Assente,"ripostiglio, balcone, cucina, connessione ad internet, lavatrice, bagno in comune, armadi",Via Carlo Marx,"Bisceglie, Baggio, Olmi",Quarto Cagnino,45.471,9.1122,Living Immobiliare,02 3540 6348,23,https://www.immobiliare.it/annunci/127423629/,
112768253,"Stanza singola via Cardinale Giovanni Cagliero 11, Milano", € 550.00 ,€ 550/mese,2,1,12 m²,Piano rialzato,Assente,"cucina, lavatrice, portineria, bagno in comune, tv, armadi",Via Cardinale Giovanni Cagliero,"Maggiolina, Istria",Maggiolina,45.4954,9.2037,Studio Cagliero,331 529 5865,14,https://www.immobiliare.it/annunci/112768253/,
126675465,"Stanza singola via Luigi Bianchi d'Espinosa 7, Milano", € 550.00 ,€ 550/mese,3,1,12 m²,Piano terra,Assente,"ripostiglio, cucina, lavatrice, attacco telefonico, armadi",Via Luigi Bianchi d'Espinosa,"Bicocca, Niguarda",Niguarda,45.5135,9.1918,Affiliato Tecnocasa: STUDIO NIGUARDA D.I.,02 9475 9643,20,https://www.immobiliare.it/annunci/126675465/,
127287313,"Stanza singola via Sem Benelli 20, Milano", € 550.00 ,€ 550/mese,4,2,,9°,Centralizzato,"ascensore, connessione ad internet, ripostiglio, giardino, lavatrice, microonde, portineria, cucina",Via Sem Benelli,"San Siro, Trenno",Gallaratese,45.4969,9.1209,Privato/Nessuna,,11,https://www.immobiliare.it/annunci/127287313/,
127441576,"Stanza singola via Carlo Marx 8, Milano", € 500.00 ,€ 500/mese,4,2,21 m²,6°,Assente,"balcone, cucina, connessione ad internet, lavatrice, bagno in comune, armadi",Via Carlo Marx,"Bisceglie, Baggio, Olmi",Quarto Cagnino,45.471,9.1122,Living Immobiliare,02 3540 6348,22,https://www.immobiliare.it/annunci/127441576/,
115136593,"Stanza singola viale Monza 202, Milano", € 490.00 ,€ 490/mese,4,2,100 m²,4°,Assente,"balcone, cucina, connessione ad internet, lavatrice, portineria, bagno in comune, armadi",Viale Monza,"Precotto, Turro",Precotto,45.5093,9.2234,Alesi Immobiliare,02 3540 6484,17,https://www.immobiliare.it/annunci/115136593/,
