id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
126379047,"Stanza singola viale Abruzzi 91, Milano",700,€ 700/mese,2,1,92 m²,4°,Centralizzato,"ascensore, ripostiglio, lavatrice, lavastoviglie, microonde, con biancheria, armadi, cucina",Viale Abruzzi,"Centrale, Repubblica",Morgagni,45.4763,9.217,Privato/Nessuna,,4,https://www.immobiliare.it/annunci/126379047/,
124352885,"Stanza singola piazza Napoli 24, Milano",700,€ 700/mese,4,1,20 m²,1°,Centralizzato,"balcone, ascensore, lavatrice, lavastoviglie, microonde, portineria, giardino, ripostiglio, armadi, cucina",Piazza Napoli,"Napoli, Soderini",Piazza Napoli,45.4538,9.15216,Privato/Nessuna,,4,https://www.immobiliare.it/annunci/124352885/,
122798510,"Stanza singola via Gerolamo Borgazzi 5, Milano",700,€ 700/mese,4,2,20 m²,4°,Centralizzato,"lavatrice, microonde, portineria, armadi, ingresso privato, tv, cucina",Via Gerolamo Borgazzi,"Genova, Ticinese",Ticinese,45.4529,9.18618,Privato/Nessuna,,3,https://www.immobiliare.it/annunci/122798510/,
126742239,"Stanza singola viale Argonne 200, Milano",700,€ 700/mese,2,1,45 m²,4°,Autonomo,"balcone, connessione ad internet, bagno privato, cucina",Viale Argonne,"Città Studi, Susa",Città Studi,45.4684,9.22908,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/126742239/,
122047226,"Stanza singola via Val Trompia 32, Milano",650,€ 650/mese,1,2,20 m²,2°,Centralizzato,"balcone, connessione ad internet, ripostiglio, giardino, lavatrice, microonde, con biancheria, tv, armadi, cucina",Via Val Trompia,"Affori, Bovisa",Roserio,45.5182,9.13218,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/122047226/,
125815569,"Stanza singola viale Monza 61, Milano",650,€ 650/mese,2,1,20 m²,4°,Centralizzato,"ascensore, ripostiglio, lavatrice, portineria, armadi, cucina",Viale Monza,"Precotto, Turro",Turro,45.5011,9.22125,Privato/Nessuna,,4,https://www.immobiliare.it/annunci/125815569/,
114211411,"Stanza singola viale Monza 104, Milano",680,€ 680/mese,4,1,20 m²,3°,Centralizzato,"balcone, ascensore, ripostiglio, lavatrice, microonde, portineria, armadi, cucina",Viale Monza,"Precotto, Turro",Turro,45.4994,9.22084,Privato/Nessuna,,4,https://www.immobiliare.it/annunci/114211411/,
115269371,"Stanza singola via Filippo Palizzi 119B, Milano",600,€ 600/mese,2,1,69 m²,2°,Autonomo,"balcone, connessione ad internet, lavatrice, bagno privato, ingresso privato, cucina",Via Filippo Palizzi,"Affori, Bovisa",Quarto Oggiaro,45.5083,9.13432,Privato/Nessuna,,7,https://www.immobiliare.it/annunci/115269371/,
99655086,"Stanza singola via Tito Livio, Milano",700,€ 700/mese,3,2,14 m²,5°,Autonomo,"connessione ad internet, giardino, lavatrice, lavastoviglie, microonde, portineria, terrazzo, ascensore, con biancheria, tv, armadi, accesso per disabili, cucina",Via Tito Livio,"Porta Vittoria, Lodi",Martini - Insubria,45.451,9.21882,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/99655086/,
125416819,"Stanza singola via Astura, Milano",600,€ 600/mese,3,1,20 m²,1°,Centralizzato,"balcone, ascensore, lavatrice, portineria, connessione ad internet, armadi, cucina",Via Astura,"Ripamonti, Vigentino",Ripamonti - Fondazione Prada,45.4396,9.19548,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/125416819/,
123084677,"Stanza singola via Giovanni Spadolini 10C, Milano",600,€ 600/mese,5,2,120 m²,2°,Autonomo,"ascensore, lavatrice, microonde, portineria, armadi, cucina",Via Giovanni Spadolini,"Ripamonti, Vigentino",Ripamonti - Fondazione Prada,45.4425,9.19179,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/123084677/,
104631659,"Stanza singola via Beldiletto 2, Milano",600,€ 600/mese,4,1,,1°,Assente,"ascensore, lavatrice, lavastoviglie, cucina",Via Beldiletto,"Famagosta, Barona",Famagosta,45.4368,9.16242,Privato/Nessuna,,8,https://www.immobiliare.it/annunci/104631659/,
